INSTALL_YR,INSTALL_MO,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,LAT,LON,point
2006,0,1096,2871 24TH ST,L'S Caffe,24TH,SIDEWALK,1,2,{A1E1520F-C96E-4426-BE63-9AF45015B6CA},37.75254,-122.40957,POINT (-122.4095697985142 37.75254000450096)
2015,8,452,1610 BUSH ST,Intercultural Institute of California (ICC),BUSH,SIDEWALK,1,2,{E4C80B70-AD38-4310-AB92-F88100243814},37.788321,-122.423815,POINT (-122.42381461515822 37.78832113560014)
2010,0,1827,865 MARKET ST,Westfield Centre,MARKET,SIDEWALK,4,8,{83BD3B13-5284-4048-A6F4-FE20A27D5C97},37.783942,-122.407145,POINT (-122.40714479372019 37.783942002444284)
2003,0,1414,451 JUDAH ST,Bikram Yoga Inner Sunset,JUDAH,SIDEWALK,1,2,{6D0479BB-C651-4EAA-A089-AA424D09E4C1},37.761884,-122.467045,POINT (-122.46704478824225 37.76188400811002)
2015,6,2106,2499 SAN BRUNO AVE,Breakfast at Tiffany's,SAN BRUNO,SIDEWALK,1,2,{FA5F3B33-FDD2-4718-A5AB-FF61008817F1},37.730494,-122.404536,POINT (-122.40453580014535 37.730493906700985)
2017,5,3248,1545 Ocean Ave,Medithrive,OCEAN,SIDEWALK,2,4,{717880A4-6001-445B-879B-704014758D19},37.724322,-122.458683,POINT (-122.45868259191829 37.72432177720126)
2017,4,3629,1998 Market Street,Direct Urgent Care,MARKET,SIDEWALK,4,8,{14612462-4BE3-418D-81A0-B3A2336A64B8},37.769775,-122.426399,POINT (-122.42639862939353 37.76977531614113)
2010,7,216,580 DUBOCE AVE,Duboce Park,DUBOCE,SIDEWALK,2,4,{92883029-EA2A-4F59-BF0E-7138F539028D},37.769243,-122.4327,POINT (-122.43269979178346 37.769243005250246)
2002,0,1334,3318 24TH ST,Cafe La Boheme,24TH,SIDEWALK,1,2,{B88389F0-1560-44A1-8B04-9C3EDE34636A},37.752394,-122.418791,POINT (-122.41879079647241 37.75239400592727)
2017,5,3230,327 Divisidero St,SALT,DIVISADERO,SIDEWALK,1,2,{94EC1445-8F87-498C-9FE4-B9D81F318D20},37.772443,-122.43742,POINT (-122.43741960832456 37.77244267877765)
2015,10,852,119 07TH ST,6th on 7th Gallery,07TH,SIDEWALK,2,4,{A451B623-E2CC-4CB6-B9C4-E952B832B157},37.778847,-122.410356,POINT (-122.41035626115678 37.778846618374935)
2015,11,2348,240 POWELL ST,LUSH Handmade Cosmetics,POWELL,SIDEWALK,1,2,{4916BC36-796D-4EA9-92C4-832648971932},37.786813,-122.40803,POINT (-122.40802959943684 37.78681325166725)
2003,0,2334,2325 NORIEGA ST,UNKNOWN,NORIEGA,SIDEWALK,1,2,{ED3680C2-49EB-4CB6-A8E6-213C588D803E},37.753437,-122.48878,POINT (-122.48877978561298 37.75343700991319)
2010,11,409,59 GRANT AVE,Sisley,GRANT,SIDEWALK,1,2,{78B95E00-C8F6-403F-A9D7-61ED04103CDD},37.787515,-122.405251,POINT (-122.40525079441454 37.78751500161387)
2005,0,1937,670 SOUTH VAN NESS AVE,FatChanceBellyDance,SOUTH VAN NESS,SIDEWALK,1,2,{69600D73-7724-41C7-A105-EDDB8F2A0C2D},37.762413,-122.417565,POINT (-122.4175647957601 37.76241300480122)
2017,2,3312,4734 03rd Street,Trifusion Yoga,03RD,SIDEWALK,2,4,{DB869063-557A-4912-BF37-96D01217DAE2},37.735346,-122.390662,POINT (-122.39066239800412 37.735346213713925)
2006,0,1028,2125 POWELL ST,UNKNOWN,POWELL,SIDEWALK,1,2,{9D4B344D-63C0-485C-8336-8B2BBC29B7FE},37.804343,-122.411884,POINT (-122.41188379080302 37.804343000024794)
2010,0,1373,630 IRVING ST,residential,IRVING,SIDEWALK,1,2,{03F8462A-8EF1-4522-ACD2-8C9E0942BE02},37.76435,-122.464757,POINT (-122.46475678826363 37.764350007893384)
2004,0,2236,399 GROVE ST,Boxing Room,GROVE,SIDEWALK,1,2,{20B887B5-073D-49FF-9C4A-C8624E9B54F7},37.777599,-122.422751,POINT (-122.42275079281046 37.777599003334025)
2010,0,1174,1881 POST ST,Kabuki Sundance Cinema,POST,SIDEWALK,3,6,{6A33F93B-79AB-4A74-BD7F-0C4E8BAF72F9},37.784916,-122.432279,POINT (-122.4322787905578 37.78491600460156)
2003,0,2619,3602 20TH ST,Ruby,20TH,SIDEWALK,1,2,{97929634-38BD-4B77-ADC0-5B59E8DD1FA6},37.758701,-122.421595,POINT (-122.4215948950153 37.7587009946928)
2005,0,1143,520 SCOTT ST,UNKNOWN,SCOTT,SIDEWALK,1,2,{CA185E0F-636D-47C9-845B-FEBD115AFF7A},37.77462,-122.435702,POINT (-122.4357017918266 37.774620005397345)
2012,2,1449,1028 POTRERO AVE,La Paz Restaurant,POTRERO,SIDEWALK,1,2,{FD111C06-B228-40DF-B337-6ED68ADE542E},37.755605,-122.406916,POINT (-122.4069157974405 37.75560500429468)
2002,0,2787,448 CORTLAND AVE,Good Life Grocery,CORTLAND,SIDEWALK,1,2,{EA81965F-8E2B-482D-AA96-DC76413CE9A7},37.738888,-122.416705,POINT (-122.41670479745056 37.73888800665771)
2002,0,112,780 STANYAN ST,Yoga Tree,STANYAN,SIDEWALK,1,2,{E381BCD5-1B47-4ABF-AA2C-48C8775BB3AD},37.767778,-122.452869,POINT (-122.45286878993328 37.7677780064895)
2010,0,192,1899 IRVING ST,Lucca Foods,IRVING,SIDEWALK,1,2,{F66A3FC0-85ED-43B0-94C2-ACDADA8A8498},37.763277,-122.477909,POINT (-122.47790898620603 37.763276699018775)
2003,0,1420,3388 17TH ST,Core Pilates,17TH,SIDEWALK,1,2,{70452FDA-C754-4894-9192-1E66E6ACC145},37.763572,-122.421023,POINT (-122.42102279461311 37.763572004561716)
2014,12,1990,200 COLUMBUS AVE,Reveille Coffee,KEARNY,ROADWAY,5,10,{FDC6C40F-8DFE-45ED-BA5C-E847EF03B167},37.797355,-122.405547,POINT (-122.40554679329645 37.79735500153817)
2015,1,1572,4754 MISSION ST,Mama Art Cafe,MISSION,SIDEWALK,2,4,{A04D462E-CDD5-4268-96B8-A10749A1A5FB},37.722067,-122.437102,POINT (-122.43710219652485 37.722067408693036)
2003,0,245,333 BUSH ST,office building,BUSH,SIDEWALK,1,2,{AFBB52DF-73B2-4583-B05A-721E64C38D66},37.790587,-122.403044,POINT (-122.4030437940648 37.79058700098888)
2013,1,1066,2 SANCHEZ ST,Duboce Park Cafe,SANCHEZ,SIDEWALK,3,6,{8CA617FE-2977-40A4-A723-E38EC339B2A9},37.769156,-122.43161,POINT (-122.43160979253891 37.769156004901774)
2002,0,324,111 ELLIS ST,Rasputin Music,ELLIS,SIDEWALK,1,2,{9EF36A08-3851-48F7-9E24-603AB44521F8},37.785301,-122.408054,POINT (-122.40805379481449 37.78530100209957)
2004,0,2841,2295 HARRISON ST,Mission Cliffs,HARRISON,SIDEWALK,1,2,{BE7491AF-6B98-492A-BBD5-0194B409B510},37.760911,-122.412321,POINT (-122.41232079604241 37.76091100369296)
2002,0,2899,500 DE HARO ST,St Gregory's Church,DE HARO,SIDEWALK,1,2,{13FBC22A-999D-4B28-B317-9E2AEEE9AAE3},37.763346,-122.401762,POINT (-122.4017619970421 37.76334550299934)
2010,0,628,588 HAIGHT ST,O'Looney's Market,HAIGHT,SIDEWALK,1,2,{E2E5246F-D73B-445B-B30D-E9F4D4D243BF},37.772161,-122.431864,POINT (-122.43186379119669 37.77216100441219)
2014,12,863,666 CHENERY ST,fitGLENfit,CHENERY,ROADWAY,5,10,{4F203DBD-A84B-4DF2-A3E4-A28AF501A93A},37.73476,-122.433428,POINT (-122.4334277957203 37.73476000799334)
2016,8,3417,1314 Noriega,bb tea,NORIEGA,SIDEWALK,1,2,{2BD30C40-C43B-49C6-ADFF-2A8816E7BD02},37.754254,-122.477729,POINT (-122.47772861112433 37.75425355333447)
2002,0,2201,1017 MARKET ST,UNKNOWN,MARKET,SIDEWALK,1,2,{CEEBA6D5-848B-494E-B006-B2FEF125D15A},37.781556,-122.410405,POINT (-122.41040479427046 37.7815560029888)
2015,6,96,165 GRATTAN ST,Grattan Elementary School,GRATTAN,SIDEWALK,1,2,{A8BD8A37-B401-4B09-B7B7-10F822742E5B},37.763626,-122.450467,POINT (-122.45046709060604 37.76362590721044)
2003,0,2921,1640 STOCKTON ST,UNKNOWN,STOCKTON,SIDEWALK,1,2,{01C6EFD2-DAFA-45F2-8031-EC6DEAEECEF2},37.801005,-122.408928,POINT (-122.40892779274999 37.80100500122363)
2003,0,897,595 BUCKINGHAM WAY,medical building,BUCKINGHAM,SIDEWALK,1,2,{8588E0D4-2F0D-46EA-A8A2-263AD5092ED0},37.729519,-122.479506,POINT (-122.47950578970118 37.72951901185783)
2011,0,2999,1801 GREEN ST,Golden Gate Valley Branch Library,GREEN,SIDEWALK,7,14,{DEAD1EF0-78B2-4A47-AE23-4032C25B954A},37.796784,-122.42901,POINT (-122.42900979034819 37.7967840027592)
2015,7,1407,354 05TH ST,Wood Thumb,05TH,SIDEWALK,1,2,{284C2606-FD0D-44C6-9D71-F04979889B34},37.779459,-122.402739,POINT (-122.40273899494053 37.77945940184289)
2013,8,1911,2211 MISSION ST,Gracias Madre,MISSION,ROADWAY,4,8,{6ABC3DD4-6EDE-4F9F-A34F-A61143752B19},37.761544,-122.418963,POINT (-122.41896279530725 37.76154400472919)
2004,0,2884,101 UTAH ST,Oceanic Restaurant,UTAH,SIDEWALK,1,2,{A15D2B36-5116-46AA-9FA4-DC8BBA973D25},37.767877,-122.406298,POINT (-122.40629779589665 37.76787700356809)
2005,0,1117,578 MARKET ST,Quizno's,MARKET,SIDEWALK,1,2,{F8CA8DC4-0709-4CA1-88A6-59D6229F59FC},37.789635,-122.401435,POINT (-122.40143479453255 37.78963500121104)
2005,0,1852,1300 DOLORES ST,Luv A Java,26TH,SIDEWALK,1,2,{1B573F1B-E6EB-452D-88D4-6C3747AB5D6B},37.748485,-122.425163,POINT (-122.42516279580215 37.74848500674723)
2004,0,421,3801 SACRAMENTO ST,UNKNOWN,SACRAMENTO,SIDEWALK,1,2,{3119D513-0718-48CA-858A-9E25F0CACA2A},37.786824,-122.455435,POINT (-122.45543478670768 37.78682400517625)
2009,0,1469,57 LELAND AVE,Visiticion Chinese Baptist Church,LELAND,SIDEWALK,1,2,{7E346224-DDD6-481F-B5C6-149550C3F655},37.711497,-122.405139,POINT (-122.40513880314253 37.71149700815447)
2010,11,2475,600 OCTAVIA ST,Seesaw LLC Cafe,OCTAVIA,SIDEWALK,2,4,{8D30D1A1-2AF1-45C5-AD0F-75B320505BE9},37.777808,-122.42467,POINT (-122.42466979151502 37.77780800398159)
2017,5,3259,3440 Geary Blvd,Panchos Salsa Bar and Grill,GEARY,SIDEWALK,2,4,{CB9C199D-D395-4A4A-828F-88BBE1954086},37.781525,-122.456191,POINT (-122.45619109099658 37.781525369934464)
2015,10,1186,255 KANSAS ST,16th & Kansas Streets Building LLC,KANSAS,SIDEWALK,2,4,{12376FD9-660F-486C-8353-F7F647BAEAD2},37.766609,-122.403609,POINT (-122.40360943880944 37.76660927738789)
2016,8,3422,2407 Noriega,dental health of sf,NORIEGA,SIDEWALK,1,2,{46E85221-DB3D-479E-B982-A93B4AC9C8ED},37.753601,-122.489413,POINT (-122.4894132011007 37.75360148374934)
2013,7,800,327 GRANT AVE,lululemon athletica,GRANT,SIDEWALK,1,2,{AC942795-9D6C-475B-8251-A5F75330AD63},37.790145,-122.405857,POINT (-122.40585679362997 37.79014500137277)
2017,5,3240,1408 Clement St,Heartbaker,CLEMENT,SIDEWALK,1,2,{A93B5288-7B37-4FB2-A73C-901B809681A6},37.782572,-122.474236,POINT (-122.47423568389134 37.7825720924424)
2015,1,2683,499 BAY ST,Starbucks,TAYLOR,SIDEWALK,1,2,{5DEC3D24-07BD-4831-969E-98BB9CA6703C},37.80532,-122.415084,POINT (-122.41508399092557 37.80532010077332)
2013,3,879,130 WEST PORTAL AVE,Citibank,WEST PORTAL,SIDEWALK,1,2,{071F92A0-87AA-4B88-97B5-ECA662E193A3},37.739482,-122.467739,POINT (-122.46773879028596 37.739482009615685)
2010,7,559,3349 20TH ST,Shotwells,20TH,SIDEWALK,1,2,{CFA2C2E2-7607-43DA-92AE-6357DF90D8AF},37.758616,-122.415599,POINT (-122.41559879576401 37.7586160050358)
2016,8,3429,1396 La Playa St,java beach cafe,LA PLAYA,SIDEWALK,1,2,{47087EF1-9C9D-401F-A545-43D6F72A2CD1},37.760378,-122.509061,POINT (-122.5090611574199 37.760377572962945)
2002,0,2820,3870 24TH ST,Ladybug Ladybug,24TH,SIDEWALK,1,2,{B804B6C2-D360-4A9E-8920-22ADB2AF81E7},37.751837,-122.429044,POINT (-122.42904379449185 37.751837005924926)
2013,9,2517,4304 18TH ST,US Post Office,18TH,SIDEWALK,1,2,{C615E0FB-3E2D-4A98-85B2-80F8B950EED9},37.76093,-122.437392,POINT (-122.43739179243671 37.76093000656166)
2002,0,85,801 PORTOLA DR,medical building,PORTOLA,SIDEWALK,1,2,{8E7CC811-4340-4F13-BA01-358EB61D13C6},37.743618,-122.454079,POINT (-122.45407879145293 37.743618008489825)
2004,0,1446,828 HOLLOWAY AVE,Touch of Heaven,HOLLOWAY,SIDEWALK,1,2,{A7778D8E-7044-4ECA-AC70-CFB8D93AE6EE},37.722047,-122.461614,POINT (-122.46161379288529 37.72204706141811)
2011,5,2169,979 MARKET ST,Blick Arts Materials,MARKET,SIDEWALK,2,4,{9BD715EF-378C-4899-9275-0110BB29CF4E},37.782276,-122.409518,POINT (-122.40951779403193 37.782276001976626)
2012,4,1793,600 THE EMBARCADERO,Delancy Street Restaurant,EMBARCADERO,SIDEWALK,2,4,{F0395018-B93B-4A70-AA1B-109FD574534D},37.783481,-122.38888,POINT (-122.38887979758361 37.78348100147626)
2006,0,814,3566 SACRAMENTO ST,UNKNOWN,SACRAMENTO,SIDEWALK,1,2,{13DD7850-B729-4ED9-9ADF-19F09F20F605},37.787726,-122.451485,POINT (-122.45148478711418 37.78772600498085)
2006,0,1098,628 DIVISADERO ST,The Independent,DIVISADERO,SIDEWALK,1,2,{67C73657-D6E1-4595-B158-50DA70654E17},37.775528,-122.437497,POINT (-122.43749679143265 37.77552800459286)
2017,3,3623,2298 Market Street,Café Flore,MARKET,ROADWAY,10,20,{5DD19A80-3E9E-4442-B813-6FA4BA991790},37.764288,-122.433118,POINT (-122.43311750998788 37.76428829063609)
2002,0,28,2041 MARKET ST,salon baobao,MARKET,SIDEWALK,1,2,{166F318F-739D-48AD-8CF4-BB9D772985B3},37.768188,-122.427514,POINT (-122.42751379276855 37.76818800457095)
2009,0,2140,110 LELAND AVE,Luen Fat Bakery,LELAND,SIDEWALK,1,2,{20D708B3-0D73-4D29-B7B5-231F6EDFE9D4},37.712232,-122.405769,POINT (-122.40576880267147 37.71223200755259)
2003,0,1826,200 FOLSOM ST,UNKNOWN,FOLSOM,SIDEWALK,1,2,{EAD0CD15-A7FF-4942-BEEE-2789E5B98313},37.789281,-122.392286,POINT (-122.39228579587503 37.789281000599374)
2015,1,1964,4567 MISSION ST,Jupiter Market,MISSION,SIDEWALK,1,2,{4563BB11-34CF-4839-BF4D-85789C9FA5D0},37.725058,-122.434092,POINT (-122.43409229679507 37.72505770886877)
2011,4,1229,904 22ND ST,Rickshaw Bagworks,22ND,SIDEWALK,2,4,{5B78C652-072D-4694-938B-5DF9BADC5ACD},37.758027,-122.390572,POINT (-122.39057179977046 37.758027002705276)
2002,0,2171,2282 MARKET ST,UNKNOWN,MARKET,SIDEWALK,1,2,{BFC3BF94-D80A-4540-9AF0-30C3E33EFCBC},37.764885,-122.432814,POINT (-122.4328137928782 37.764885006139565)
2012,8,1064,2 CLEMENT ST,Clement Mini Mart,CLEMENT,SIDEWALK,1,2,{C95FC187-551E-4DED-9A48-917BD63ADC4C},37.783403,-122.459286,POINT (-122.45928648630907 37.78340249524902)
2002,0,2543,1551 DOLORES ST,Noeteca,DOLORES,SIDEWALK,1,2,{C21D8784-146C-445E-A31E-2C4DD6CB822C},37.744531,-122.424058,POINT (-122.42405779619729 37.744531006635476)
2004,0,182,400 VALENCIA ST,Little Star Pizza,VALENCIA,SIDEWALK,2,4,{78AD1E2B-E16F-4708-BC01-8563204C075C},37.766373,-122.4224,POINT (-122.42239979428139 37.766373004692085)
0,0,1627,2501 MARIPOSA ST,Slow Club,MARIPOSA,SIDEWALK,2,4,{FDD84C78-348B-4B0D-900E-1FAFB4E8320C},37.762776,-122.408536,POINT (-122.4085357960936 37.76277600409595)
2003,0,2965,3141 17TH ST,Ocean Sash and Door Co.,17TH,SIDEWALK,1,2,{7CACF273-FA34-4A5F-AFCA-E5CE12B8EB58},37.763409,-122.416016,POINT (-122.41601579520176 37.763409004318575)
2012,11,300,448 CORTLAND AVE,Good Life Grocery,CORTLAND,SIDEWALK,1,2,{C2E4C1C4-604A-41D9-8CA7-ACE1328537CE},37.738888,-122.416705,POINT (-122.41670479745056 37.73888800665771)
2011,6,1352,750 16TH AVE,Argonne Community Garden,16TH,SIDEWALK,2,4,{543E92C7-397F-46A5-A435-C9EDC639902B},37.773964,-122.474044,POINT (-122.47404378491176 37.77396400740777)
2015,12,1251,1145 FOLSOM ST,Bloodhound,FOLSOM,SIDEWALK,2,4,{C0868CE8-923E-46BF-8394-5CE5D708DD5F},37.775865,-122.408835,POINT (-122.40883522803117 37.77586467326873)
2013,9,865,5 MASONIC AVE,Corner Store,MASONIC,SIDEWALK,2,4,{B6B87085-D37B-4E16-B8BF-5215AD8FC1F1},37.782082,-122.448003,POINT (-122.44800278838544 37.78208200505725)
2009,0,2067,159 LELAND AVE,UNKNOWN,LELAND,SIDEWALK,1,2,{67427B5A-2200-4833-839C-382A013EB2F3},37.712172,-122.406887,POINT (-122.40688680269643 37.712172008202565)
2015,11,2301,2550 MISSION ST,Alamo Draft House,MISSION,ROADWAY,6,12,{C87FC4FD-AC76-46C4-AA36-8130939C14C4},37.756216,-122.418909,POINT (-122.41890905538473 37.75621561851474)
2003,0,1364,621 DIVISADERO ST,Divisadero Health Haven,DIVISADERO,SIDEWALK,1,2,{FA3D5193-1A60-4D7F-A18A-8052504292B7},37.775317,-122.438032,POINT (-122.43803179062189 37.77531700450891)
2012,2,768,2576 HARRISON ST,Moscone Elementry,HARRISON,SIDEWALK,1,2,{B13418DF-5A0F-4C3A-AB08-7E437C87E736},37.756822,-122.412738,POINT (-122.41273749712231 37.75682184477724)
2013,1,2652,800 HOWARD ST,Moscone West,HOWARD,SIDEWALK,3,6,{6881671C-F7BA-452B-B59E-7A249A8A19A6},37.782915,-122.404861,POINT (-122.40486079506908 37.78291500176194)
2017,2,3299,2230 Polk,Russian Hill Bookstore,POLK,SIDEWALK,1,2,{1E41FCEB-B84C-4255-B375-53D19A4EAC2E},37.797257,-122.421945,POINT (-122.42194537980164 37.797256723537174)
2003,0,2389,36 02ND ST,UNKNOWN,02ND,SIDEWALK,2,4,{BD597E41-E040-47FE-A8B6-E812541DCE9B},37.788582,-122.400945,POINT (-122.40094479542081 37.7885820020225)
2003,0,54,312 MASON ST,UNKNOWN,MASON,SIDEWALK,1,2,{1DBF7269-3D7B-4BDF-A28F-CD9B3B04DCD3},37.786495,-122.409504,POINT (-122.40950379406557 37.78649500216531)
2009,0,740,96 LELAND AVE,El Buen Saborz,LELAND,SIDEWALK,1,2,{EF63DAB4-B9A4-44E8-9A00-2747DFD886C5},37.712065,-122.405342,POINT (-122.40534180316766 37.71206500817565)
2013,5,2357,2001 POLK ST,Cheese Plus,POLK,SIDEWALK,2,4,{855415BB-7549-48E2-9825-E5AE31B407F6},37.795225,-122.421819,POINT (-122.42181879101184 37.79522500233863)
2010,0,1632,286 DIVISADERO ST,Yoga Garden of San Francisco,DIVISADERO,SIDEWALK,3,6,{BD055E89-8610-44CB-A611-9446437D1B65},37.771976,-122.436854,POINT (-122.43685379133484 37.771976005388844)
2011,5,1583,710 MARKET ST,One Kearny,MARKET,SIDEWALK,1,2,{753B91E2-8494-4049-B05D-72920A6AD1F6},37.787702,-122.40384,POINT (-122.40383979406347 37.787702002021824)
0,0,2941,185 ARKANSAS ST,Alison Events,ARKANSAS,SIDEWALK,0,0,{5F30CF62-B719-4916-B507-E5A97C4518DC},37.764014,-122.398389,POINT (-122.39838919776189 37.76401390325104)
2014,4,1751,2295 HARRISON ST,Mission Cliffs,HARRISON,ROADWAY,8,54,{EAB10AD2-F6EC-4791-81F0-4232152A49BD},37.760911,-122.412321,POINT (-122.41232079604241 37.76091100369296)
2015,12,2310,188 SPEAR ST,Dr. Berd DDS,SPEAR,SIDEWALK,1,2,{62D61B2C-0E14-4002-8F19-D878CB24853A},37.791417,-122.392779,POINT (-122.39277928509601 37.79141699265415)
2002,0,1157,4304 18TH ST,US Post Office,DIAMOND,SIDEWALK,1,2,{48B2AD88-9E88-4B28-8DC3-46CB11621027},37.76093,-122.437392,POINT (-122.43739179243671 37.76093000656166)
2012,4,833,500 DE HARO ST,St. Gregory's,DE HARO,SIDEWALK,1,2,{F376BF46-60D1-45AE-A201-A4BCBAA0D7A8},37.763346,-122.401762,POINT (-122.40176179811237 37.7633460029504)
2013,10,2329,3255 21ST ST,Mission Bartlett Garage,21ST,GARAGE,9,18,{9E018545-0DBF-4BFE-A125-BF39ABDBE11A},37.756891,-122.420057,POINT (-122.4200570957084 37.756891184778446)
2010,0,2424,1610 GEARY BLVD,Japantown Peace Plaza and Buchanan Mall,GEARY,SIDEWALK,2,4,{D6EB07FC-2150-4859-95A2-97E8C348A590},37.784964,-122.430367,POINT (-122.43036678968792 37.784964004490334)
2017,7,3202,1944 Irving St,Town & Country Beauty,IRVING,SIDEWALK,1,2,{1A738468-D422-450D-A587-9D94DEEB545C},37.763562,-122.478682,POINT (-122.47868187008675 37.76356191128348)
2005,0,1506,1311 24TH AVE,Olson's Cleaners,24TH,SIDEWALK,1,2,{5BBB0502-4191-4C1B-A5C1-8E0AB8E08D7F},37.763066,-122.482629,POINT (-122.48262918627104 37.76306621991175)
2006,0,209,5411 GEARY BLVD,UNKNOWN,GEARY,SIDEWALK,1,2,{7D9247D4-2607-4051-A1BA-9FDE3F78ED7E},37.780106,-122.477519,POINT (-122.47751878468347 37.78010600788031)
